date,gross_stock_trades,gross_option_trades,gross_trades_value,stock_trading_costs,option_trading_costs,net_trading_costs,stock_pos_value,option_pos_value,gross_pos_value,stock_PL,option_PL,net_PL,daily_stock_PL,daily_option_PL,daily_net_PL,start_cash,initial_kapital,short_fee,initial_cash,interest,lever_cash,leverage_fee,end_kapital,net_short_fees,net_interest_paid,net_interest_earned,net_pos_value,tot_cash
1/2/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,1000000,29.58464616,0,0,1000029.585,0,29.58464616,0,1000029.585,9999970.415
1/3/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000029.585,1000029.585,0,1000029.585,30.55739322,0,0,1000060.142,0,60.14203938,0,1000060.142,9999939.858
1/4/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000060.142,1000060.142,0,1000060.142,33.75658709,0,0,1000093.899,0,93.89862647,0,1000093.899,9999906.101
1/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000093.899,1000093.899,0,1000093.899,34.03502653,0,0,1000127.934,0,127.933653,0,1000127.934,9999872.066
1/8/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000127.934,1000127.934,0,1000127.934,34.17337294,0,0,1000162.107,0,162.1070259,0,1000162.107,9999837.893
1/9/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000162.107,1000162.107,0,1000162.107,34.86858569,0,0,1000196.976,0,196.9756116,0,1000196.976,9999803.024
1/10/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000196.976,1000196.976,0,1000196.976,34.73026756,0,0,1000231.706,0,231.7058792,0,1000231.706,9999768.294
1/11/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000231.706,1000231.706,0,1000231.706,35.42989233,0,0,1000267.136,0,267.1357715,0,1000267.136,9999732.864
1/12/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000267.136,1000267.136,0,1000267.136,35.56948027,0,0,1000302.705,0,302.7052518,0,1000302.705,9999697.295
1/16/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000302.705,1000302.705,0,1000302.705,35.56821539,0,0,1000338.273,0,338.2734672,0,1000338.273,9999661.727
1/17/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000338.273,1000338.273,0,1000338.273,35.01306503,0,0,1000373.287,0,373.2865322,0,1000373.287,9999626.713
1/18/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000373.287,1000373.287,0,1000373.287,33.48920093,0,0,1000406.776,0,406.7757331,0,1000406.776,9999593.224
1/19/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000406.776,1000406.776,0,1000406.776,34.32363156,0,0,1000441.099,0,441.0993647,0,1000441.099,9999558.901
1/22/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000441.099,1000441.099,0,1000441.099,34.04510439,0,0,1000475.144,0,475.1444691,0,1000475.144,9999524.856
1/23/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000475.144,1000475.144,0,1000475.144,34.46259111,0,0,1000509.607,0,509.6070602,0,1000509.607,9999490.393
1/24/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000509.607,1000509.607,0,1000509.607,34.7411232,0,0,1000544.348,0,544.3481834,0,1000544.348,9999455.652
1/25/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000544.348,1000544.348,0,1000544.348,33.35592588,0,0,1000577.704,0,577.7041093,0,1000577.704,9999422.296
1/26/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000577.704,1000577.704,0,1000577.704,34.32949606,0,0,1000612.034,0,612.0336053,0,1000612.034,9999387.966
1/29/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000612.034,1000612.034,0,1000612.034,34.60689317,0,0,1000646.64,0,646.6404985,0,1000646.64,9999353.36
1/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000646.64,1000646.64,0,1000646.64,34.05151957,0,0,1000680.692,0,680.6920181,0,1000680.692,9999319.308
1/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000680.692,1000680.692,0,1000680.692,32.24519464,0,0,1000712.937,0,712.9372127,0,1000712.937,9999287.063
2/1/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000712.937,1000712.937,0,1000712.937,33.63959653,0,0,1000746.577,0,746.5768092,0,1000746.577,9999253.423
2/2/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000746.577,1000746.577,0,1000746.577,32.5279639,0,0,1000779.105,0,779.1047731,0,1000779.105,9999220.895
2/5/18,1112.940024,38952,40064.94002,0.111294002,3.8952,4.006494002,1112.940024,-40800,-39687.05998,-0.111294002,-3.8952,-4.006494002,-0.111294002,-3.8952,-4.006494002,1000779.105,1000775.098,0,1038614.158,34.76705139,0,0,1000809.865,0,813.8718245,0,998961.8653,10037021.18
2/6/18,167045.7884,25213,192258.7884,16.70457884,2.5213,19.22587884,168180.6557,-61717,106463.6557,-16.81587284,-6.4165,-23.23237284,-16.70457884,-2.5213,-19.22587884,1000809.865,1000790.639,0,896796.9111,30.64213155,0,0,1000821.282,0,844.5139561,0,1003291.209,9895138.525
2/7/18,42684.31775,22239,64923.31775,4.268431775,2.2239,6.492331775,124583.9768,-70314,54269.97683,-21.08430461,-8.6404,-29.72470461,-4.268431775,-2.2239,-6.492331775,1000821.282,1000814.789,0,961744.3786,31.79204564,0,0,1000846.581,0,876.3060017,0,1016046.148,9960023.559
2/8/18,801408.0952,0,801408.0952,80.14080952,0,80.14080952,-681497.1229,-97140,-778637.1229,-101.2251141,-8.6404,-109.8655141,-80.14080952,0,-80.14080952,1000846.581,1000740.91,25.5309847,1763078.594,54.12336331,0,0,1000795.033,25.5309847,930.429365,0,984495.5945,10761297.39
2/9/18,285463.5985,24928,310391.5985,28.54635985,2.4928,31.03915985,-406270.6625,-107839,-514109.6625,-129.771474,-11.1332,-140.904674,-28.54635985,-2.4928,-31.03915985,1000795.033,1000749.055,14.93846316,1502551.141,45.08126789,0,0,1000794.137,40.46944785,975.5106329,0,988486.5602,10500685.67
2/12/18,441132.1281,15330,456462.1281,44.11321281,1.533,45.64621281,28895.57907,-103585,-74689.42093,-173.8846868,-12.6662,-186.5508868,-44.11321281,-1.533,-45.64621281,1000794.137,1000748.49,0,1076748.448,35.74443961,0,0,1000784.235,40.46944785,1011.255073,0,1002094.772,10074802.15
2/13/18,103600.2968,4140,107740.2968,10.36002968,0.414,10.77402968,132567.75,-103300,29267.75,-184.2447165,-13.0802,-197.3249165,-10.36002968,-0.414,-10.77402968,1000784.235,1000773.461,0,977313.1219,29.99946456,0,0,1000803.46,40.46944785,1041.254537,0,1006610.871,9975301.082
2/14/18,704357.3077,63228,767585.3077,70.43573077,6.3228,76.75853077,838714.224,-37908,800806.224,-254.6804472,-19.403,-274.0834472,-70.43573077,-6.3228,-76.75853077,1000803.46,1000726.702,0,209681.0551,6.756607265,0,0,1000733.458,40.46944785,1048.011144,0,1010494.036,9207632.259
2/15/18,133589.1013,67032,200621.1013,13.35891013,6.7032,20.06211013,983005.4171,18609,1001614.417,-268.0393574,-26.1062,-294.1455574,-13.35891013,-6.7032,-20.06211013,1000733.458,1000713.396,0,9046.64828,0.286513488,0,0,1000713.683,40.46944785,1048.297658,0,1010661.352,9006990.809
2/16/18,56930.89925,0,56930.89925,5.693089925,0,5.693089925,926362.5464,10977,937339.5464,-273.7324473,-26.1062,-299.8386473,-5.693089925,0,-5.693089925,1000713.683,1000707.99,0,65972.14095,2.290977764,0,0,1000710.281,40.46944785,1050.588636,0,1003313.978,9063913.724
2/20/18,264600.3715,0,264600.3715,26.46003715,0,26.46003715,1185162.764,18382,1203544.764,-300.1924845,-26.1062,-326.2986845,-26.46003715,0,-26.46003715,1000710.281,1000683.821,0,0,0,198652.3996,8.29495611,1000675.526,40.46944785,1050.588636,8.29495611,1004884.07,8799295.187
