date,gross_stock_trades,gross_option_trades,gross_trades_value,stock_trading_costs,option_trading_costs,net_trading_costs,stock_pos_value,option_pos_value,gross_pos_value,stock_PL,option_PL,net_PL,start_cash,initial_kapital,short_fee,initial_cash,interest,lever_cash,leverage_fee,end_kapital,net_short_fees,net_interest_paid,net_interest_earned,net_pos_value,tot_cash
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,1000000.0,29.584646155100813,0.0,0.0,1000029.5846461551,0.0,29.584646155100813,0.0,1000029.5846461551,9999970.415353846
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000029.5846461551,1000029.5846461551,0.0,1000029.5846461551,30.55739322337817,0.0,0.0,1000060.1420393785,0.0,60.142039378478984,0.0,1000060.1420393785,9999939.85796062
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000060.1420393785,1000060.1420393785,0.0,1000060.1420393785,33.7565870869364,0.0,0.0,1000093.8986264655,0.0,93.89862646541539,0.0,1000093.8986264655,9999906.101373535
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000093.8986264655,1000093.8986264655,0.0,1000093.8986264655,34.03502653034299,0.0,0.0,1000127.9336529959,0.0,127.93365299575838,0.0,1000127.9336529959,9999872.066347005
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000127.9336529959,1000127.9336529959,0.0,1000127.9336529959,34.17337294023692,0.0,0.0,1000162.1070259361,0.0,162.1070259359953,0.0,1000162.1070259361,9999837.892974064
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000162.1070259361,1000162.1070259361,0.0,1000162.1070259361,34.86858568812262,0.0,0.0,1000196.9756116243,0.0,196.9756116241179,0.0,1000196.9756116243,9999803.024388377
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000196.9756116243,1000196.9756116243,0.0,1000196.9756116243,34.73026756301462,0.0,0.0,1000231.7058791873,0.0,231.70587918713252,0.0,1000231.7058791873,9999768.294120813
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000231.7058791873,1000231.7058791873,0.0,1000231.7058791873,35.42989232808325,0.0,0.0,1000267.1357715154,0.0,267.13577151521577,0.0,1000267.1357715154,9999732.864228485
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000267.1357715154,1000267.1357715154,0.0,1000267.1357715154,35.56948027124173,0.0,0.0,1000302.7052517866,0.0,302.7052517864575,0.0,1000302.7052517866,9999697.294748213
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000302.7052517866,1000302.7052517866,0.0,1000302.7052517866,35.56821539115764,0.0,0.0,1000338.2734671778,0.0,338.27346717761515,0.0,1000338.2734671778,9999661.726532822
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000338.2734671778,1000338.2734671778,0.0,1000338.2734671778,35.01306502871397,0.0,0.0,1000373.2865322065,0.0,373.2865322063291,0.0,1000373.2865322065,9999626.713467794
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000373.2865322065,1000373.2865322065,0.0,1000373.2865322065,33.489200933188,0.0,0.0,1000406.7757331396,0.0,406.7757331395171,0.0,1000406.7757331396,9999593.22426686
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000406.7757331396,1000406.7757331396,0.0,1000406.7757331396,34.32363155973841,0.0,0.0,1000441.0993646993,0.0,441.09936469925555,0.0,1000441.0993646993,9999558.9006353
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000441.0993646993,1000441.0993646993,0.0,1000441.0993646993,34.045104392541205,0.0,0.0,1000475.1444690919,0.0,475.14446909179674,0.0,1000475.1444690919,9999524.855530908
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000475.1444690919,1000475.1444690919,0.0,1000475.1444690919,34.46259110970825,0.0,0.0,1000509.6070602016,0.0,509.60706020150496,0.0,1000509.6070602016,9999490.392939799
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000509.6070602016,1000509.6070602016,0.0,1000509.6070602016,34.741123198576865,0.0,0.0,1000544.3481834001,0.0,544.3481834000818,0.0,1000544.3481834001,9999455.6518166
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000544.3481834001,1000544.3481834001,0.0,1000544.3481834001,33.3559258773915,0.0,0.0,1000577.7041092775,0.0,577.7041092774733,0.0,1000577.7041092775,9999422.295890722
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000577.7041092775,1000577.7041092775,0.0,1000577.7041092775,34.32949605680897,0.0,0.0,1000612.0336053342,0.0,612.0336053342822,0.0,1000612.0336053342,9999387.966394667
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000612.0336053342,1000612.0336053342,0.0,1000612.0336053342,34.60689316645482,0.0,0.0,1000646.6404985007,0.0,646.6404985007371,0.0,1000646.6404985007,9999353.3595015
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000646.6404985007,1000646.6404985007,0.0,1000646.6404985007,34.051519570455035,0.0,0.0,1000680.6920180711,0.0,680.6920180711921,0.0,1000680.6920180711,9999319.307981929
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000680.6920180711,1000680.6920180711,0.0,1000680.6920180711,32.24519464144614,0.0,0.0,1000712.9372127125,0.0,712.9372127126383,0.0,1000712.9372127125,9999287.062787287
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000712.9372127125,1000712.9372127125,0.0,1000712.9372127125,33.63959653220072,0.0,0.0,1000746.5768092447,0.0,746.576809244839,0.0,1000746.5768092447,9999253.423190756
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000746.5768092447,1000746.5768092447,0.0,1000746.5768092447,32.527963902515246,0.0,0.0,1000779.1047731473,0.0,779.1047731473542,0.0,1000779.1047731473,9999220.895226853
2018-02-05,1112.9400240000055,38952.0,40064.940024,0.11129400240000055,3.8952,4.0064940024,1112.9400240000055,-40800.0,-39687.059976,-0.11129400240000055,-3.8952,-4.0064940024,1000779.1047731473,1000775.0982791448,0.0,1038614.1582551448,34.767051392771194,0.0,0.0,1000809.8653305377,0.0,813.8718245401254,0.0,998961.8653305377,10037021.181657458
2018-02-06,167045.78835299998,25213.0,192258.78835299998,16.704578835299998,2.5213,19.225878835299998,168180.655737,-61717.0,106463.655737,-16.8158728377,-6.4165,-23.232372837699998,1000809.8653305377,1000790.6394517024,0.0,896796.9110747024,30.64213154514066,0.0,0.0,1000821.2815832475,0.0,844.513956085266,0.0,1003291.2089432476,9895138.525294079
2018-02-07,42684.317753999974,22239.0,64923.317753999974,4.268431775399997,2.2239,6.492331775399998,124583.97682900004,-70314.0,54269.976829000036,-21.084304613099995,-8.6404,-29.724704613099995,1000821.2815832475,1000814.7892514721,0.0,961744.3786284721,31.792045636327483,0.0,0.0,1000846.5812971084,0.0,876.3060017215935,0.0,1016046.1475031085,9960023.558670664
2018-02-08,801408.09522,0.0,801408.09522,80.14080952200001,0.0,80.14080952200001,-681497.122939,-97140.0,-778637.122939,-101.2251141351,-8.6404,-109.8655141351,1000846.5812971084,1000740.9095028907,25.530984695800335,1763078.5940998907,54.12336330779835,0.0,0.0,1000795.0328661985,25.530984695800335,930.4293650293919,0.0,984495.5945241986,10761297.389717836
2018-02-09,285463.59849999996,24928.000000000004,310391.59849999996,28.546359849999998,2.4928000000000003,31.039159849999997,-406270.66245000006,-107839.0,-514109.66245000006,-129.7714739851,-11.1332,-140.9046739851,1000795.0328661985,1000749.0552431932,14.93846315531648,1502551.1413401933,45.08126789154062,0.0,0.0,1000794.1365110847,40.46944785111681,975.5106329209325,0.0,988486.5601580847,10500685.670790095
2018-02-12,441132.12811,15329.999999999998,456462.12811,44.113212811000004,1.533,45.646212811,28895.57906799995,-103585.0,-74689.42093200005,-173.8846867961,-12.6662,-186.5508867961,1000794.1365110847,1000748.4902982737,0.0,1076748.4482852737,35.74443960606565,0.0,0.0,1000784.2347378798,40.46944785111681,1011.2550725269981,0.0,1002094.7717928798,10074802.152027676
2018-02-13,103600.29679999995,4140.000000000001,107740.29679999995,10.360029679999995,0.4140000000000001,10.774029679999996,132567.7499999999,-103300.0,29267.749999999913,-184.2447164761,-13.0802,-197.3249164761,1000784.2347378798,1000773.4607081999,0.0,977313.1218952,29.99946455785042,0.0,0.0,1000803.4601727577,40.46944785111681,1041.2545370848486,0.0,1006610.8713597577,9975301.08173344
2018-02-14,660890.934612,0.0,660890.934612,66.08909346120001,0.0,66.08909346120001,795247.8508619999,-100608.0,694639.8508619999,-250.3338099373,-13.0802,-263.41400993729997,1000803.4601727577,1000737.3710792966,0.0,316386.09765429667,10.194991651269062,0.0,0.0,1000747.5660709478,40.46944785111681,1051.4495287361176,0.0,1011036.1435079478,9314333.863036325
2018-02-15,575458.996704,0.0,575458.996704,57.545899670400004,0.0,57.545899670400004,1380854.303358,-114261.0,1266593.303358,-307.8797096077,-13.0802,-320.95990960769996,1000747.5660709478,1000690.0201712773,0.0,0.0,0.0,259120.2499577225,9.958809691655995,1000680.0613615856,40.46944785111681,1051.4495287361176,9.958809691655995,1007463.0945905858,8738827.279242348
2018-02-16,52000.33517700002,0.0,52000.33517700002,5.200033517700002,0.0,5.200033517700002,1329258.569669,-119199.0,1210059.569669,-313.0797431254,-13.0802,-326.15994312539993,1000680.0613615856,1000674.861328068,0.0,0.0,0.0,207135.07362393197,8.592255880793235,1000666.2690721871,40.46944785111681,1051.4495287361176,18.551065572449232,1002915.9037891873,8790831.006641708
2018-02-20,214086.37222000005,0.0,214086.37222000005,21.408637222000007,0.0,21.408637222000007,1106849.42584,-105758.0,1001091.4258399999,-334.4883803474,-13.0802,-347.5685803473999,1000666.2690721871,1000644.8604349651,0.0,6921.29770296521,0.24225813823016934,0.0,0.0,1000645.1026931034,40.46944785111681,1051.6917868743478,18.551065572449232,1008012.9658011034,9004895.72796635
2018-02-21,213884.02882000004,14580.000000000002,228464.02882000004,21.388402882000005,1.4580000000000002,22.846402882000003,887459.69796,-114020.0,773439.69796,-355.87678322939996,-14.5382,-370.4149832293999,1000645.1026931034,1000622.2562902214,0.0,235362.72237822146,8.172600519569256,0.0,0.0,1000630.428890741,40.46944785111681,1059.864387393917,18.551065572449232,1008810.5929387411,9233328.73778295
2018-02-22,159361.51088000005,16182.0,175543.51088000005,15.936151088000006,1.6182,17.554351088000004,1047971.40656,-123165.0,924806.40656,-371.8129343174,-16.1564,-387.9693343173999,1000630.428890741,1000612.874539653,0.0,92173.8297476531,2.8807922899124185,0.0,0.0,1000615.7553319428,40.46944785111681,1062.7451796838295,18.551065572449232,1016983.117099943,9090128.791759571
2018-02-23,1187112.976365,0.0,1187112.976365,118.7112976365,0.0,118.7112976365,2251788.365034,-140193.0,2111595.365034,-490.52423195389997,-16.1564,-506.68063195389993,1000615.7553319428,1000497.0440343063,0.0,0.0,0.0,1095054.9771226938,41.782372796120576,1000455.2616615102,40.46944785111681,1062.7451796838295,60.33343836856981,1016498.6055385103,7902938.88646973
2018-02-26,49662.20286999998,32064.0,81726.20286999998,4.966220286999998,3.2064000000000004,8.172620286999999,2327598.88753,-135736.0,2191862.88753,1023.1711797591213,6868.637200000003,7891.808379759123,1000455.2616615102,1008853.7506732233,0.0,0.0,0.0,1176831.1349857766,45.22698281754489,1008808.5236904058,40.46944785111681,1062.7451796838295,105.5604211861147,1014986.5255614058,7821249.737962262
2018-02-27,987320.5981340001,14991.000000000002,1002311.5981340001,98.73205981340001,1.4991000000000003,100.23115981340001,1311214.712067,-102734.0,1208480.712067,-8031.23086805417,17089.1381,9057.90723194583,1008808.5236904058,1009974.6225425925,0.0,0.0,0.0,204646.9949944073,7.6945827569066445,1009966.9279598355,40.46944785111681,1062.7451796838295,113.25500394302134,1003826.0224898359,8793486.799519205
2018-02-28,572607.72087,15519.0,588126.72087,57.260772087,1.5519,58.812672086999996,725324.271015,-69889.0,655435.271015,-18968.953407141118,23807.586199999998,4838.632792858881,1009966.9279598355,1005747.6535207486,0.0,352375.2186207487,10.571573705803877,0.0,0.0,1005758.2250944544,40.46944785111681,1073.3167533896335,113.25500394302134,1007821.0612094544,9350506.13614341
2018-03-01,509997.27775,0.0,509997.27775,50.999727775000004,0.0,50.999727775000004,204780.22032,-62266.0,142514.22032,-19019.95313491612,23807.586199999998,4787.633065083881,1005758.2250944544,1005707.2253666794,0.0,862332.0682166795,29.1076369659657,0.0,0.0,1005736.3330036453,40.46944785111681,1102.4243903555991,113.25500394302134,1004875.3961736454,9860423.30652867
2018-03-02,124124.55899199992,18354.0,142478.55899199992,12.412455899199992,1.8354000000000001,14.247855899199992,81711.30833600003,-40164.0,41547.30833600003,-20188.542798815342,30379.7508,10191.20800118466,1005736.3330036453,1011139.907939746,0.0,968117.4869897461,32.274348344951605,0.0,0.0,1011172.182288091,40.46944785111681,1134.6987387005508,113.25500394302134,1009697.0696740912,9966147.343316428
2018-03-05,130579.45071599992,12767.999999999998,143347.4507159999,13.057945071599992,1.2768,14.334745071599992,213235.170264,-29051.0,184184.170264,-21509.70279788691,32940.474,11430.771202113094,1011172.182288091,1012411.7454890194,0.0,824787.9758770195,28.411320859418247,0.0,0.0,1012440.1568098789,40.46944785111681,1163.1100595599692,113.25500394302134,1009000.5574618789,9822757.146534497
2018-03-06,1588.8165120000049,3283.9999999999995,4872.816512000005,0.1588816512000005,0.32839999999999997,0.4872816512000005,215364.53663999995,-25146.0,190218.53663999995,-21976.56949953811,33796.1456,11819.576100461896,1012440.1568098789,1012828.9617082276,0.0,819943.0834042276,27.9022652165094,0.0,0.0,1012856.8639734441,40.46944785111681,1191.0123247764786,113.25500394302134,1010189.522309444,9817855.940475628
2018-03-07,4605.290183999958,0.0,4605.290183999958,0.46052901839999577,0.0,0.46052901839999577,210680.323656,-24123.0,186557.323656,-21977.03002855651,33796.1456,11819.115571443495,1012856.8639734441,1012856.4034444257,0.0,824575.8153244257,28.40303418432099,0.0,0.0,1012884.80647861,40.46944785111681,1219.4153589607997,113.25500394302134,1011161.54201461,9822432.367096424
2018-03-08,146450.64324,0.0,146450.64324,14.645064324000002,0.0,14.645064324000002,358150.4625600001,-23859.0,334291.4625600001,-21991.67509288051,33796.1456,11804.470507119495,1012884.80647861,1012870.161414286,0.0,678138.930054286,25.810882866643922,0.0,0.0,1012895.9722971526,40.46944785111681,1245.2262418274436,113.25500394302134,1012456.2034971528,9675941.267909234
2018-03-09,407715.02329799987,0.0,407715.02329799987,40.771502329799986,0.0,40.771502329799986,772098.16629,-32208.0,739890.16629,-22032.44659521031,33796.1456,11763.699004789694,1012895.9722971526,1012855.2007948228,0.0,270408.9461368229,10.0665333701268,0.0,0.0,1012865.267328193,40.46944785111681,1255.2927751975703,113.25500394302134,1010309.1789601931,9268175.406575534
2018-03-12,123281.9481959999,0.0,123281.9481959999,12.32819481959999,0.0,12.32819481959999,647847.184644,-32208.0,615639.184644,-22044.77479002991,33796.1456,11751.370809970094,1012865.267328193,1012852.9391333733,0.0,393688.6326713733,14.873805491044479,0.0,0.0,1012867.8129388643,40.46944785111681,1270.1665806886149,113.25500394302134,1009342.6911208644,9391430.152771225
2018-03-13,6427.845864000017,0.0,6427.845864000017,0.6427845864000018,0.0,0.6427845864000018,637232.4763200001,-26202.0,611030.4763200001,-22045.41757461631,33796.1456,11750.728025383694,1012867.8129388643,1012867.1701542779,0.0,400130.70955627796,14.727846164609122,0.0,0.0,1012881.8980004425,40.46944785111681,1284.894426853224,113.25500394302134,1011175.9137224427,9397842.628004475
2018-03-14,307974.97158000007,9960.0,317934.97158000007,30.79749715800001,0.996,31.793497158000008,325987.52022,-11952.0,314035.52022,-26410.697661774302,38415.149600000004,12004.451938225702,1012881.8980004425,1013135.6219132845,0.0,698128.6154852846,26.762622825150363,0.0,0.0,1013162.3845361096,40.46944785111681,1311.6570496783745,113.25500394302134,1012190.8983281096,9695799.04346449
2018-03-15,325632.285,11052.0,336684.285,32.5632285,1.1052,33.6684285,0.0,0.0,0.0,-31999.982318274277,43544.044400000006,11544.062081725728,1013162.3845361096,1012701.9946796097,0.0,1012701.9946796097,38.1227176578746,0.0,0.0,1012740.1173972675,40.46944785111681,1349.779767336249,113.25500394302134,1012740.1173972675,10010307.537318332
2018-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31999.982318274277,43544.044400000006,11544.062081725728,1012740.1173972675,1012740.1173972675,0.0,1012740.1173972675,38.40482625276614,0.0,0.0,1012778.5222235202,40.46944785111681,1388.184593589015,113.25500394302134,1012778.5222235202,10010269.13249208
2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31999.982318274277,43544.044400000006,11544.062081725728,1012778.5222235202,1012778.5222235202,0.0,1012778.5222235202,37.982043272292195,0.0,0.0,1012816.5042667926,40.46944785111681,1426.1666368613073,113.25500394302134,1012816.5042667926,10010231.150448807
2018-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31999.982318274277,43544.044400000006,11544.062081725728,1012816.5042667926,1012816.5042667926,0.0,1012816.5042667926,36.857279044963356,0.0,0.0,1012853.3615458375,40.46944785111681,1463.0239159062708,113.25500394302134,1012853.3615458375,10010194.293169763
2018-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31999.982318274277,43544.044400000006,11544.062081725728,1012853.3615458375,1012853.3615458375,0.0,1012853.3615458375,36.57658109778506,0.0,0.0,1012889.9381269353,40.46944785111681,1499.6004970040558,113.25500394302134,1012889.9381269353,10010157.716588665
2018-03-22,7332.557231999989,14052.999999999998,21385.55723199999,0.733255723199999,1.4053,2.1385557231999988,7332.557231999989,-14260.999999999998,-6928.442768000009,-32000.715573997477,43542.63910000001,11541.923526002527,1012889.9381269353,1012887.799571212,0.0,1019608.2423392121,44.04902259965064,0.0,0.0,1012931.8485938117,40.46944785111681,1543.6495196037065,113.25500394302134,1012723.8485938117,10016831.97177834
2018-03-23,135516.11872499998,15067.0,150583.11872499998,13.551611872499999,1.5067000000000002,15.0583118725,-128339.85144499998,-30420.0,-158759.85144499998,-32014.267185869976,43541.13240000001,11526.865214130026,1012931.8485938117,1012909.9902972062,6.799984732965917,1170213.5517902062,54.131139586381444,0.0,0.0,1012964.1214367925,47.26943258408273,1597.780659190088,113.25500394302134,1011507.8314847925,10167345.901051883
2018-03-26,307571.237106,19361.000000000004,326932.237106,30.757123710600002,1.9361000000000004,32.6932237106,175720.130667,-48179.0,127541.13066699999,-32045.024309580574,43539.19630000001,11494.171990419427,1012964.1214367925,1012931.4282130819,0.0,882024.7526000818,41.71636632696298,0.0,0.0,1012973.1445794089,47.26943258408273,1639.497025517051,113.25500394302134,1009607.5996334088,9879061.254355844
2018-03-27,286628.7280000001,20862.0,307490.7280000001,28.662872800000013,2.0862000000000003,30.749072800000015,-113897.91418000007,-69539.0,-183436.91418000008,-32073.687182380574,43537.11010000001,11463.422917619428,1012973.1445794089,1012936.3927679346,6.002738674268928,1189520.4451549347,54.68866950828734,0.0,0.0,1012991.0814374429,53.272171258351655,1694.1856950253384,113.25500394302134,1006138.2196444429,10186466.544613536
2018-03-28,64407.491855999964,19295.0,83702.49185599996,6.440749185599997,1.9295,8.370249185599997,-177968.86960500004,-89346.0,-267314.869605,-32080.127931566174,43535.180600000014,11455.052668433827,1012991.0814374429,1012973.5045363982,9.206651859118427,1273260.0487793982,57.299280662610364,0.0,0.0,1013030.8038170608,62.478823117470085,1751.4849756879487,113.25500394302134,1006002.4784550607,10270103.366939688
2018-03-29,446936.43360999995,17357.0,464293.43360999995,44.693643361,1.7357,46.429343360999994,266693.55158499995,-102344.0,164349.55158499995,-32124.821574927173,43533.44490000002,11408.623325072827,1013030.8038170608,1012984.3744736998,0.0,843691.4851067,38.79350646250203,0.0,0.0,1013023.1679801623,62.478823117470085,1790.2784821504508,113.25500394302134,1008079.8301981625,9840438.710479865
2018-04-02,817435.941648,18495.0,835930.941648,81.7435941648,1.8495000000000001,83.59309416480001,-556498.8763750001,-126734.0,-683232.8763750001,-32206.565169091973,43531.59540000002,11325.030230908027,1013023.1679801623,1012910.4766015736,29.09828442381304,1679548.5288825738,76.51973821616603,0.0,0.0,1012986.9963397898,91.57710754128313,1866.7982203666168,113.25500394302134,996392.1722457899,10676209.539295483
2018-04-03,602325.8419209999,16545.0,618870.8419209999,60.23258419209999,1.6545,61.8870841921,38694.30429599999,-134427.0,-95732.69570400001,-32266.797753284074,43529.94090000002,11263.143146715927,1012986.9963397898,1012925.1092555977,0.0,1093782.319615598,47.400314889113666,0.0,0.0,1012972.5095704868,91.57710754128313,1914.1985352557303,113.25500394302134,998097.0242264871,10090319.409975402
2018-04-04,583191.86288,19988.0,603179.86288,58.319186288000004,1.9988000000000001,60.31798628800001,622300.160768,-155875.0,466425.16076799994,-32325.116939572075,43527.94210000002,11202.825160427927,1012972.5095704868,1012912.1915841989,0.0,530565.5390641992,23.434346322097497,0.0,0.0,1012935.6259305209,91.57710754128313,1937.632881577828,113.25500394302134,997014.1341785212,9527031.794762792
2018-04-05,567117.6252199999,17676.0,584793.6252199999,56.711762521999994,1.7676,58.479362521999995,1194328.942212,-172010.0,1022318.942212,-32381.828702094077,43526.17450000002,11144.345797905926,1012935.6259305209,1012877.1465679989,0.0,0.0,0.0,18911.131172000663,0.9875954358229051,1012876.1589725631,91.57710754128313,1937.632881577828,114.24259937884425,1003406.8234445635,8977532.677775707
2018-04-06,1669800.00518,15035.999999999998,1684836.00518,166.98000051800003,1.5035999999999998,168.48360051800003,-502087.6393040001,-176793.0,-678880.6393040002,-32548.808702612077,43524.67090000003,10975.862197387925,1012876.1589725631,1012681.2814175125,26.393954532707046,1665729.0088575128,76.3581624959373,0.0,0.0,1012757.6395800083,117.97106207399017,2013.9910440737651,114.24259937884425,986924.7277160087,10662123.841192693
2018-04-09,450411.38010000007,17085.0,467496.38010000007,45.04113801000001,1.7085000000000001,46.74963801000001,-54150.74010000001,-194893.0,-249043.7401,-32593.84984062208,43522.962400000026,10929.112559377925,1012757.6395800083,1012708.028485505,2.861456493245145,1232429.3758255055,56.83392931578815,0.0,0.0,1012764.8624148208,120.83251856723531,2070.824973389553,114.24259937884425,983442.4696548213,10228693.877525369
